Team,Raw Coefficient,Adjusted (Shrinkage),Games Used
Alabama,1.1781459035201678,1.1781459035201678,69.0
Ohio St.,1.1452038769127615,1.1452038769127615,75.0
Michigan,1.0879276896248182,1.0879276896248182,77.0
Florida,1.013970873888697,1.013970873888697,58.0
Nebraska,0.9992625467170253,0.9992625467170253,65.0
Texas,0.9831760142140373,0.9831760142140373,70.0
LSU,0.977112041798569,0.977112041798569,58.0
Tennessee,0.9766322139742414,0.9766322139742414,47.0
Georgia,0.9718691339918424,0.9718691339918424,73.0
Notre Dame,0.9445391564547583,0.9445391564547583,72.0
Colorado,0.9202113923014501,0.9202113923014501,53.0
Penn St.,0.917522686387743,0.917522686387743,69.0
Florida St.,0.8802523321370033,0.8802523321370033,56.0
Auburn,0.8564676972364742,0.8564676972364742,52.0
Michigan St.,0.8523604999843197,0.8523604999843197,57.0
Oklahoma,0.8463034121376349,0.8463034121376349,69.0
Wisconsin,0.7974146848887829,0.7974146848887829,70.0
Texas A&M,0.7904612944908072,0.7904612944908072,52.0
Clemson,0.7854419050914894,0.7854419050914894,59.0
Iowa,0.7667731322654352,0.7667731322654352,68.0
South Carolina,0.7372789058473344,0.7372789058473344,35.0
USC,0.7063800176807398,0.7063800176807398,66.0
Oregon,0.6929315996140017,0.6929315996140017,66.0
Arkansas,0.691304466194536,0.691304466194536,41.0
Kentucky,0.6813708303024955,0.6813708303024955,32.0
Miami,0.6612170576978,0.6612170576978,54.0
Missouri,0.642512592112074,0.642512592112074,36.0
West Virginia,0.6388686145269187,0.6388686145269187,60.0
Mississippi,0.6314306148459208,0.6314306148459208,41.0
Iowa St.,0.6249068900120953,0.6249068900120953,67.0
Virginia Tech,0.6218590342803729,0.6218590342803729,36.0
Washington,0.6019271587361708,0.6019271587361708,58.0
Mississippi St.,0.599593081822956,0.599593081822956,44.0
North Carolina,0.5883858862456961,0.5883858862456961,39.0
Kansas,0.5852968637955982,0.5852968637955982,51.0
Purdue,0.5745309131802685,0.5745309131802685,52.0
Kansas St.,0.559043407723653,0.559043407723653,59.0
TCU,0.5448386801448226,0.5448386801448226,65.0
Texas Tech,0.5339392972140722,0.5339392972140722,65.0
