source_name,source_url,season,sport,gender,matchup,team1,team2,date,time_text,time_slot,network,viewers,viewer_method,panel_viewers,big_data_viewers,stage,week,tournament,round,rating,ocr_window,ocr_network,ocr_rating,ocr_viewers,ocr_full_text,day_of_week,month,month_name,is_weekend,is_tournament,team1_rank,team1_top_10,team1_rank_11_25,team2_rank,team2_top_10,team2_rank_11_25,top_10_teams,rank_11_25_teams,team1_seed,team1_seeded,team2_seed,team2_seeded,seeded_teams,best_seed,seed_score,seed_diff,ln_viewers
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Arkansas/Michigan State,Arkansas,Michigan State,2025-11-08,7:00PM,Prime,FOX,1677000,big_data,,1677000.0,Regular Season,Week 1,,,,,,,,,Saturday,11,November,1,0,14,0,1,22,0,1,0,2,0,0,0,0,0,0,0,0,14.332517040805346
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Texas/Duke,Texas,Duke,2025-11-04,8:45PM,Prime,ESPN,854000,big_data,714000.0,854000.0,Regular Season,Week 1,,,,,,,,,Tuesday,11,November,0,0,19,0,1,6,1,0,1,1,0,0,0,0,0,0,0,0,13.657686472770706
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Florida/Arizona,Florida,Arizona,2025-11-03,7:00PM,Prime,TNT,643000,big_data,580000.0,643000.0,Regular Season,Week 1,,,,,,,,,Monday,11,November,0,0,3,1,0,13,0,1,1,1,0,0,0,0,0,0,0,0,13.373900003219756
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Alabama A&M/Indiana,Alabama A&M,Indiana,2025-11-05,8:00PM,Prime,BTN,346000,big_data,257000.0,346000.0,Regular Season,Week 1,,,,,,,,,Wednesday,11,November,0,0,0,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,12.75419405403986
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Robert Morris/Iowa,Robert Morris,Iowa,2025-11-04,8:30PM,Prime,BTN,263000,big_data,243000.0,263000.0,Regular Season,Week 1,,,,,,,,,Tuesday,11,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.479909311159902
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Evansville/Purdue,Evansville,Purdue,2025-11-04,6:30PM,Mid,BTN,218000,big_data,185000.0,218000.0,Regular Season,Week 1,,,,,,,,,Tuesday,11,November,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,12.292250341771226
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Oakland/Michigan,Oakland,Michigan,2025-11-03,8:30PM,Prime,FS1,169000,big_data,161000.0,169000.0,Regular Season,Week 1,,,,,,,,,Monday,11,November,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,12.037653993905211
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Quinnipiac/St. John's,Quinnipiac,St. John's,2025-11-03,6:30PM,Mid,FS1,142000,big_data,130000.0,142000.0,Regular Season,Week 1,,,,,,,,,Monday,11,November,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,11.863582336583399
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Jackson State/Illinois,Jackson State,Illinois,2025-11-03,8:30PM,Prime,BTN,104000,big_data,105000.0,104000.0,Regular Season,Week 1,,,,,,,,,Monday,11,November,0,0,0,0,0,17,0,1,0,1,0,0,0,0,0,0,0,0,11.55214617812351
TV Media Blog 2025-26 Datawrapper,https://tvmediablog.substack.com/api/v1/posts/2025-26-college-basketball-viewership,2025-26,basketball,men,Rider/Rutgers,Rider,Rutgers,2025-11-05,6:00PM,Mid,BTN,126000,big_data,98000.0,126000.0,Regular Season,Week 1,,,,,,,,,Wednesday,11,November,0,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,11.744037185933616
