Symmetric Team Fixed Effects
Minimum appearances: 5
Display shrinkage for teams with 25 or fewer appearances: appearances / (appearances + 25)

Rank,Team,Shrunk Coefficient,Shrunk Viewer Multiplier,Raw Coefficient,Raw Viewer Multiplier,Appearances,Shrinkage Factor
1,Kentucky,1.166844,3.212,1.166844,3.212,51,1.000
2,North Carolina,1.130164,3.096,1.130164,3.096,52,1.000
3,Duke,1.071237,2.919,1.071237,2.919,56,1.000
4,Kansas,1.058721,2.883,1.058721,2.883,60,1.000
5,Michigan State,0.963038,2.620,0.963038,2.620,54,1.000
6,Iowa,0.931823,2.539,0.931823,2.539,64,1.000
7,Michigan,0.922445,2.515,0.922445,2.515,60,1.000
8,Nebraska,0.891227,2.438,0.891227,2.438,54,1.000
9,Arkansas,0.875127,2.399,0.875127,2.399,48,1.000
10,Indiana,0.875105,2.399,0.875105,2.399,55,1.000
11,Illinois,0.831041,2.296,0.831041,2.296,61,1.000
12,Tennessee,0.816582,2.263,0.816582,2.263,47,1.000
13,Alabama,0.792732,2.209,0.792732,2.209,43,1.000
14,Purdue,0.782754,2.187,0.782754,2.187,51,1.000
15,Gonzaga,0.773332,2.167,0.773332,2.167,34,1.000
16,Wisconsin,0.766158,2.151,0.766158,2.151,54,1.000
17,Louisville,0.738714,2.093,0.738714,2.093,38,1.000
18,Syracuse,0.712968,2.040,0.712968,2.040,37,1.000
19,Florida,0.712082,2.038,0.712082,2.038,42,1.000
20,BYU,0.706896,2.028,0.706896,2.028,41,1.000
21,Auburn,0.694472,2.003,0.694472,2.003,42,1.000
22,Ohio State,0.692365,1.998,0.692365,1.998,54,1.000
23,UConn,0.682910,1.980,0.682910,1.980,56,1.000
24,Virginia Tech,0.663967,1.942,0.663967,1.942,28,1.000
25,NC State,0.644880,1.906,0.644880,1.906,38,1.000
26,West Virginia,0.635684,1.888,0.635684,1.888,28,1.000
27,Arizona,0.589527,1.803,0.589527,1.803,52,1.000
28,Texas Tech,0.559181,1.749,0.559181,1.749,43,1.000
29,Virginia,0.552862,1.738,0.552862,1.738,42,1.000
30,Kansas State,0.548716,1.731,0.548716,1.731,29,1.000
31,Notre Dame,0.540989,1.718,0.540989,1.718,34,1.000
32,Iowa State,0.539354,1.715,0.539354,1.715,45,1.000
33,Memphis,0.534395,1.706,0.534395,1.706,45,1.000
34,Minnesota,0.528632,1.697,0.528632,1.697,54,1.000
35,Wake Forest,0.517198,1.677,0.517198,1.677,29,1.000
36,Houston,0.507505,1.661,0.507505,1.661,48,1.000
37,St. John's,0.493856,1.639,0.493856,1.639,52,1.000
38,Maryland,0.480023,1.616,0.480023,1.616,61,1.000
39,Ole Miss,0.477829,1.613,0.477829,1.613,26,1.000
40,Texas,0.472555,1.604,0.472555,1.604,42,1.000
41,Pitt,0.451882,1.571,0.451882,1.571,34,1.000
42,Oklahoma,0.434547,1.544,0.434547,1.544,27,1.000
43,Creighton,0.412060,1.510,0.412060,1.510,48,1.000
44,UCLA,0.406570,1.502,0.406570,1.502,52,1.000
45,Seton Hall,0.393188,1.482,0.393188,1.482,47,1.000
46,Wichita State,0.369961,1.448,0.369961,1.448,34,1.000
47,Villanova,0.360931,1.435,0.360931,1.435,56,1.000
48,Miami (FL),0.356051,1.428,0.356051,1.428,38,1.000
49,Cincinnati,0.346122,1.414,0.346122,1.414,27,1.000
50,Penn State,0.333612,1.396,0.333612,1.396,57,1.000
51,TCU,0.327739,1.388,0.327739,1.388,40,1.000
52,Marquette,0.316429,1.372,0.316429,1.372,49,1.000
53,Clemson,0.310532,1.364,0.310532,1.364,34,1.000
54,Texas A&M,0.309432,1.363,0.309432,1.363,32,1.000
55,SMU,0.304886,1.356,0.304886,1.356,28,1.000
56,Arizona State,0.296960,1.346,0.296960,1.346,35,1.000
57,Rutgers,0.285823,1.331,0.285823,1.331,53,1.000
58,Baylor,0.285234,1.330,0.285234,1.330,45,1.000
59,Butler,0.282557,1.327,0.282557,1.327,49,1.000
60,Missouri,0.280822,1.324,0.586064,1.797,23,0.479
61,Florida State,0.279243,1.322,0.582769,1.791,23,0.479
62,Georgetown,0.261537,1.299,0.261537,1.299,52,1.000
63,Utah,0.254322,1.290,0.254322,1.290,28,1.000
64,Vanderbilt,0.214296,1.239,0.482166,1.620,20,0.444
65,Xavier,0.209492,1.233,0.209492,1.233,58,1.000
66,Georgia,0.203263,1.225,0.566233,1.762,14,0.359
67,VCU,0.202728,1.225,0.444071,1.559,21,0.457
68,Oregon,0.180762,1.198,0.180762,1.198,45,1.000
69,Oklahoma State,0.177108,1.194,0.378366,1.460,22,0.468
70,Ohio,0.162572,1.177,0.569001,1.767,10,0.286
71,Furman,0.156131,1.169,0.644039,1.904,8,0.242
72,Providence,0.146535,1.158,0.146535,1.158,48,1.000
73,Northwestern,0.142722,1.153,0.142722,1.153,60,1.000
74,LSU,0.139020,1.149,0.356240,1.428,16,0.390
75,Temple,0.138595,1.149,0.138595,1.149,26,1.000
76,Liberty,0.132780,1.142,0.501613,1.651,9,0.265
77,Dayton,0.124132,1.132,0.253437,1.288,24,0.490
78,South Carolina,0.115234,1.122,0.355304,1.427,12,0.324
79,New Mexico,0.106598,1.112,0.273157,1.314,16,0.390
80,Santa Clara,0.103778,1.109,0.289097,1.335,14,0.359
