scope,variant,year,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
all,current,2021,325,544.8022527907674,34.05583611182327,22.41408342495768,43.38461538461538,62.46153846153846,18.461538461538463,20.76528770927043
all,current,2022,343,462.1802234327239,27.99828794589914,21.436519752475736,47.23032069970846,65.59766763848397,13.119533527696792,-118.23508564981266
all,current,2023,393,483.7924586899066,47.91311749134587,23.937543515264068,39.94910941475827,60.81424936386769,22.391857506361323,-183.80412666758917
all,current,2024,405,412.17413350600793,40.172742797371605,23.27739446014884,42.96296296296296,59.75308641975309,22.962962962962962,-19.223446879643983
all,current,2025,355,508.14821577275757,31.33330365614821,22.53703741114249,45.07042253521127,65.91549295774648,14.647887323943662,-229.68087168806437
all,interest_level,2021,325,501.6538603036215,29.81963355837281,23.354422502255957,43.38461538461538,65.53846153846153,15.384615384615385,-150.27540659422758
all,interest_level,2022,343,456.7251006782351,27.299346585081057,20.082768209545165,49.85422740524781,67.63848396501457,12.244897959183673,-130.20042861579068
all,interest_level,2023,393,473.47730456613203,47.61423433039883,23.93293134690868,41.73027989821883,61.57760814249363,21.882951653944023,-170.37103353254517
all,interest_level,2024,405,408.1369589726557,39.636299252113815,22.8432407779073,44.19753086419753,59.75308641975309,21.728395061728396,-27.289892965998863
all,interest_level,2025,355,498.8783511513856,31.275179069330736,21.41905874258605,46.19718309859155,65.07042253521126,15.492957746478872,-215.87926711889466
all,interest_level_momentum,2021,325,501.72826255204944,29.681563909143236,22.60748117940964,42.769230769230774,65.84615384615384,16.0,-154.53757998077785
all,interest_level_momentum,2022,343,454.2045129941917,27.50299177027406,19.53637474247102,51.60349854227405,66.1807580174927,12.82798833819242,-107.27562653120307
all,interest_level_momentum,2023,393,472.1874868579109,47.33038222168316,23.785006818469697,42.74809160305343,59.541984732824424,22.137404580152673,-165.46694836733232
all,interest_level_momentum,2024,405,403.9537313183226,39.17700256718688,23.205261477665488,44.69135802469136,60.24691358024692,20.74074074074074,-25.727565552783766
all,interest_level_momentum,2025,355,501.4676794417086,31.25587965148974,22.595070765324305,44.7887323943662,64.50704225352113,15.774647887323944,-217.61541986519316
all,interest_momentum,2021,325,549.7699345630951,34.602741453165955,23.566567363047263,43.69230769230769,62.46153846153846,19.384615384615383,41.63698036934607
all,interest_momentum,2022,343,457.6048120066862,27.856944876820215,20.89109748102479,48.39650145772595,67.05539358600583,12.82798833819242,-113.49375466676327
all,interest_momentum,2023,393,485.62541800936333,47.66440620675201,24.215184637231395,41.98473282442748,58.778625954198475,22.137404580152673,-181.9398188457565
all,interest_momentum,2024,405,409.0884494489496,39.42287875903387,22.092737711694422,45.4320987654321,59.25925925925925,21.975308641975307,-25.473473818379034
all,interest_momentum,2025,355,514.115201807362,31.30609744364693,22.622027519432983,45.352112676056336,63.94366197183099,16.619718309859156,-240.63423496649403
all,past_selected,2021,325,501.6538603036215,29.81963355837281,23.354422502255957,43.38461538461538,65.53846153846153,15.384615384615385,-150.27540659422758
all,past_selected,2022,343,456.7251006782351,27.299346585081057,20.082768209545165,49.85422740524781,67.63848396501457,12.244897959183673,-130.20042861579068
all,past_selected,2023,393,473.47730456613203,47.61423433039883,23.93293134690868,41.73027989821883,61.57760814249363,21.882951653944023,-170.37103353254517
all,past_selected,2024,405,408.1369589726557,39.636299252113815,22.8432407779073,44.19753086419753,59.75308641975309,21.728395061728396,-27.289892965998863
all,past_selected,2025,355,498.8783511513856,31.275179069330736,21.41905874258605,46.19718309859155,65.07042253521126,15.492957746478872,-215.87926711889466
five_major,current,2021,186,823.0771155473833,28.197583137692934,20.757813314232763,47.31182795698925,67.74193548387096,16.129032258064516,12.275822424294795
five_major,current,2022,180,724.7851878292736,20.90107589603903,16.641669538090134,55.00000000000001,72.77777777777777,7.222222222222221,-174.37352800373034
five_major,current,2023,202,806.0405443516229,22.957316544679962,19.350002729863448,50.99009900990099,72.77227722772277,8.415841584158416,-376.1617902068301
five_major,current,2024,216,674.7808179186345,24.40284840336162,18.981012923753987,51.388888888888886,68.51851851851852,12.5,-49.52214768980149
