scope,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s,mae_improvement_pct,year_wins,ci05,ci95
all,current,1821,479.430052569368,36.73514459459253,22.750640892266468,43.60241625480506,62.7677100494234,18.5612300933553,-107.28343936752006,-0.0,0,0.0,0.0
all,interest_level,1821,465.77049855489776,35.65230128705063,22.561928209255147,44.97528830313015,63.70126304228446,17.627677100494235,-136.26777419827985,2.8491234417337274,5,-26.4514483260386,-5.891100581869024
all,interest_level_momentum,1821,464.6050538205986,35.49884567643415,22.511014289239938,45.24986271279517,63.042284459088414,17.737506864360242,-131.64299956251404,3.092213070357002,5,-27.491639058377558,-7.774096883613526
all,interest_momentum,1821,480.3273954955613,36.580376273577805,22.89353687182016,44.92037342119715,62.108731466227354,18.780889621087315,-105.78835713706397,-0.18716868527207217,2,-2.2095770172831712,3.790049815405114
all,past_selected,1821,465.77049855489776,35.65230128705063,22.561928209255147,44.97528830313015,63.70126304228446,17.627677100494235,-136.26777419827985,2.8491234417337274,5,-26.4514483260386,-5.891100581869024
five_major,current,987,765.466609676039,24.010660094691183,19.552807791023856,50.96251266464032,71.02330293819655,10.638297872340425,-194.66165621546787,-0.0,0,0.0,0.0
five_major,interest_level,987,741.8888019410412,23.086995638911645,19.07748630204638,52.988855116514685,72.44174265450862,8.915906788247213,-241.48013697749315,3.080187618500612,5,-44.35411066637944,-9.418554153166829
five_major,interest_level_momentum,987,740.4610863265996,23.08674816730099,18.987803281371075,52.68490374873353,71.63120567375887,8.915906788247213,-233.08677753513103,3.266703345822268,5,-46.181220406047686,-13.015566207476997
five_major,interest_momentum,987,768.3142363318066,24.13616727309703,19.07312072756342,52.17831813576495,70.61803444782169,10.739614994934144,-191.83975202163919,-0.3720118708996055,2,-2.0305912300307964,7.5030376450885905
five_major,past_selected,987,741.8888019410412,23.086995638911645,19.07748630204638,52.988855116514685,72.44174265450862,8.915906788247213,-241.48013697749315,3.080187618500612,5,-44.35411066637944,-9.418554153166829
four_broadcast,current,609,951.5650084072656,23.02485928208495,18.973183082201995,52.38095238095239,72.08538587848933,9.688013136289,-230.4213677328014,-0.0,0,0.0,0.0
four_broadcast,interest_level,609,923.7089520835663,22.276951041234884,18.65349643953241,54.187192118226605,73.5632183908046,7.389162561576355,-294.28061505490575,2.927393932898503,5,-52.607110635404894,-10.794713817055117
four_broadcast,interest_level_momentum,609,921.487083174022,22.232609827027257,18.616460532544174,53.69458128078818,73.07060755336617,7.389162561576355,-281.03647762858,3.1608902142784996,5,-54.897925257659715,-15.081034560470902
four_broadcast,interest_momentum,609,956.4572375886961,23.101755157769926,18.44429089620718,53.858784893267654,72.08538587848933,9.852216748768473,-222.65657231955922,-0.5141245357076512,2,-2.3882395928930933,11.833429367498754
four_broadcast,past_selected,609,923.7089520835663,22.276951041234884,18.65349643953241,54.187192118226605,73.5632183908046,7.389162561576355,-294.28061505490575,2.927393932898503,5,-52.607110635404894,-10.794713817055117
week1_major,current,74,840.1869726492592,25.72071121921503,22.407944147835515,47.2972972972973,71.62162162162163,13.513513513513514,-307.2895129083093,-0.0,0,0.0,0.0
week1_major,interest_level,74,817.9066621212617,23.99346752529625,18.391585038315085,55.4054054054054,68.91891891891892,13.513513513513514,-368.3051901544083,2.6518276589964147,3,-63.42369884267612,19.448209319220425
week1_major,interest_level_momentum,74,825.789773095121,23.961428585517375,18.763443395290125,55.4054054054054,66.21621621621621,13.513513513513514,-370.3664948876982,1.7135709101441163,3,-56.81372948630157,28.337658900802182
week1_major,interest_momentum,74,853.9712368862499,25.90928521157333,20.40693121861651,50.0,70.27027027027027,14.864864864864865,-305.43002996428334,-1.6406186581930118,1,-0.5548079399680482,27.771678441181034
week1_major,past_selected,74,817.9066621212617,23.99346752529625,18.391585038315085,55.4054054054054,68.91891891891892,13.513513513513514,-368.3051901544083,2.6518276589964147,3,-63.42369884267612,19.448209319220425
later_major,current,907,757.4781092407021,23.819568478390277,19.46937210228648,51.37816979051819,71.1135611907387,10.363836824696802,-185.59319975913417,-0.0,0,0.0,0.0
later_major,interest_level,907,734.2498649307026,23.004961398795306,19.175553563714125,52.811466372657115,72.87761852260198,8.599779492833518,-229.85031034050735,3.066523510928077,5,-42.601282060720884,-12.236243692640237
later_major,interest_level_momentum,907,732.0572269293474,23.007912496294892,19.096804523726878,52.480705622932746,72.21609702315325,8.599779492833518,-220.6335025290283,3.3559890379983064,5,-44.31877934999966,-13.829929174736973
later_major,interest_momentum,907,759.3713552795869,23.94462971031214,19.04887960821169,52.480705622932746,70.78280044101433,10.363836824696802,-182.47749164363879,-0.24994069343897016,2,-4.677994907404943,8.001982455927207
later_major,past_selected,907,734.2498649307026,23.004961398795306,19.175553563714125,52.811466372657115,72.87761852260198,8.599779492833518,-229.85031034050735,3.066523510928077,5,-42.601282060720884,-12.236243692640237
complete_history_major,current,987,765.466609676039,24.010660094691183,19.552807791023856,50.96251266464032,71.02330293819655,10.638297872340425,-194.66165621546787,-0.0,0,0.0,0.0
