scope,variant,delta_mae_000s,date_ci025,date_ci975,year_ci025,year_ci975
all,fox_friday_night,-0.7872675219338905,-1.8247205388671597,0.016168216747766775,-2.3960125194010278,0.0
all,past_selected,0.0,0.0,0.0,0.0,0.0
major,fox_friday_night,-1.419998185303287,-3.265448311814166,0.07282837442797317,-4.217266425960916,0.0
major,past_selected,0.0,0.0,0.0,0.0,0.0
FOX,fox_friday_night,-4.47592574682245,-12.746147175257068,2.124187734925129,-14.960295295085908,0.0
FOX,past_selected,0.0,0.0,0.0,0.0,0.0
target,fox_friday_night,-65.60134244056052,-176.03062046243943,39.66218332962091,-213.20436293182166,0.0
target,past_selected,0.0,0.0,0.0,0.0,0.0
target_2025,fox_friday_night,-213.20436293182166,-460.2677288508199,128.90209582126795,-213.20436293182166,-213.20436293182166
target_2025,past_selected,0.0,0.0,0.0,0.0,0.0
major_2024_2025,fox_friday_night,-3.3449599257621583,-7.785056599654786,0.21008237281175496,-6.904129107853913,0.0
major_2024_2025,past_selected,0.0,0.0,0.0,0.0,0.0
week1_major,fox_friday_night,0.8973349225769173,-0.17832650863908164,2.5677458561307076,0.0,2.6561113708276753
week1_major,past_selected,0.0,0.0,0.0,0.0,0.0
