scope,year,variant,n,mae_000s,bias_000s,aggregate_under_pct,median_ape_pct,mape_pct,underpredicted_pct
major,2021,broad_to_marquee,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,broad_to_marquee,180,715.5520610491579,-98.97217841686005,2.9243976977494257,15.679924528111716,20.8779247317625,53.888888888888886
major,2023,broad_to_marquee,202,783.6251167224439,-289.74911040827857,8.631077297551082,19.848644383940016,23.073830061764948,55.44554455445545
major,2024,broad_to_marquee,216,658.674486312081,36.649023160454824,-1.1266174818876262,19.38088920932404,23.800797497092457,45.370370370370374
major,2025,broad_to_marquee,203,765.3377595167616,-258.0047742880601,6.839284767807108,18.637964173632437,22.914599429093727,62.5615763546798
major,2021,current,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,current,180,717.7990006606741,-189.13043320350653,5.588364450311667,15.470704002292846,20.59217506274137,55.00000000000001
major,2023,current,202,787.9593136029359,-350.59727377257235,10.443628855245956,19.848644383940016,22.96803612949001,57.42574257425742
major,2024,current,216,667.3858946864186,-64.98525443414529,1.997693728148886,18.771831953821632,23.6279788412233,49.074074074074076
major,2025,current,203,780.1793723408497,-359.76640825219795,9.536819319400491,18.69821952304687,22.97319254296547,66.00985221674877
major,2021,hybrid_mean,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,hybrid_mean,180,718.4569764862144,-123.85540213074441,3.6596390888702257,15.760547623089202,20.883543578103794,54.44444444444444
major,2023,hybrid_mean,202,781.1310856522582,-310.38253041226346,9.24570780570445,19.848644383940016,23.01716369928895,56.930693069306926
major,2024,hybrid_mean,216,661.2448833014838,-8.63338311391973,0.2653964418476207,19.270973560489928,23.792197928203564,47.68518518518518
major,2025,hybrid_mean,203,754.9815019099933,-262.5671556455065,6.960226038793338,17.902100767801844,22.709757110926954,62.5615763546798
major,2021,marquee_mean,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,marquee_mean,180,716.5332672031623,-163.85251948721876,4.841460887529947,15.470704002292846,20.66187348451923,55.00000000000001
major,2023,marquee_mean,202,784.8073359956223,-334.7164656358083,9.97056965453661,19.848644383940016,22.972679400367568,57.42574257425742
major,2024,marquee_mean,216,661.7867054830319,-43.695335748614944,1.3432262277718099,18.777736318810724,23.609974311674417,48.61111111111111
major,2025,marquee_mean,203,765.5085973517506,-297.76170750912587,7.893176070957875,18.637964173632437,22.875251234673154,64.5320197044335
major,2021,marquee_median,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,marquee_median,180,718.5132888602903,-203.39545509362458,6.009862671742139,15.650523373421924,20.552842326522427,55.00000000000001
major,2023,marquee_median,202,788.118730193266,-351.40047246249105,10.467554623191255,19.848644383940016,22.967801288224145,57.42574257425742
major,2024,marquee_median,216,659.3865249094924,-31.893901112632207,0.9804415905376285,18.885826843645507,23.61205610863154,48.148148148148145
major,2025,marquee_median,203,765.8291344658652,-300.24542472523797,7.959015353857069,18.637964173632437,22.87627930920102,64.5320197044335
major,2021,past_selected,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,past_selected,180,717.7990006606741,-189.13043320350653,5.588364450311667,15.470704002292846,20.59217506274137,55.00000000000001
major,2023,past_selected,202,783.6251167224439,-289.74911040827857,8.631077297551082,19.848644383940016,23.073830061764948,55.44554455445545
major,2024,past_selected,216,656.6624043150719,-20.23029594459506,0.6218939308465399,18.74084665149058,23.74920985382636,49.074074074074076
major,2025,past_selected,203,765.6252650781064,-262.31080477961797,6.953430596433307,18.48309621147947,22.932770226345742,62.06896551724138
major,2021,ranked_mean,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,ranked_mean,180,715.729923067112,-134.06609070593993,3.961341189797718,15.508451630340181,20.766703765067202,53.888888888888886
major,2023,ranked_mean,202,783.2555853123874,-309.87559970395995,9.230607299885119,19.848644383940016,23.11576096754455,56.930693069306926
major,2024,ranked_mean,216,656.6624043150719,-20.23029594459506,0.6218939308465399,18.74084665149058,23.74920985382636,49.074074074074076
major,2025,ranked_mean,203,765.6252650781064,-262.31080477961797,6.953430596433307,18.48309621147947,22.932770226345742,62.06896551724138
marquee,2021,broad_to_marquee,24,1774.557235220278,-340.73376784277804,4.58882671737173,19.884069795908218,24.51951541433401,45.83333333333333
marquee,2022,broad_to_marquee,29,1624.3821037224707,475.8059820102615,-6.409203157739607,20.590401096618354,25.460358458048365,44.827586206896555
marquee,2023,broad_to_marquee,23,1115.8261927142019,174.54304746451677,-2.1172354262348536,15.68853363498235,16.27778360505183,39.130434782608695
marquee,2024,broad_to_marquee,36,1346.7284907842345,140.40678886782035,-1.7805567138373668,11.27619500081149,20.792653024825043,41.66666666666667
marquee,2025,broad_to_marquee,42,1326.9261660974269,-113.57081218530854,1.3120689298693922,11.619180562418032,15.781469011657835,50.0
marquee,2021,current,24,1774.557235220278,-340.73376784277804,4.58882671737173,19.884069795908218,24.51951541433401,45.83333333333333
marquee,2022,current,29,1638.3286254491225,-83.79697873444071,1.128762312833298,18.930084637686495,23.686739822744773,51.724137931034484
marquee,2023,current,23,1153.89174792548,-359.8625612131931,4.365191133328117,9.79205640014442,15.348636895506704,56.52173913043478
marquee,2024,current,36,1398.99694103026,-469.3988766997804,5.952641806817027,15.267809759711447,19.755741089610076,63.888888888888886
marquee,2025,current,42,1398.660628080519,-605.4187096786418,6.994324186348622,13.704923504835747,16.064669062037957,66.66666666666666
