model,holdout_year,n,mae_000s,rmse_000s,mape_pct,median_ape_pct,wape_pct,bias_000s,d8_d10_bias_000s,d8_d10_ratio,title_n,title_bias_000s,both_ranked_n,both_ranked_bias_000s,served_mae_000s,served_mape_pct,mae_delta_vs_served_000s,mape_delta_vs_served_pct_points
served_current,2021,325,559.4537587781069,1145.4147278154617,34.05041032872758,23.2694507705873,27.448340184941625,24.88344055529225,122.77066826453051,1.0273171830993781,9,-1508.9595440340822,40,-14.264332321029588,559.4537587781069,34.05041032872758,0.0,0.0
nonlinear_blend25_predicted_1m_plus,2021,325,545.2297629727079,1048.680609102947,34.134324315516075,22.078474365405928,26.750471827584448,-13.547758678658216,-38.21792706017549,0.9914962903929789,9,-1126.942611111177,40,-137.90018131229482,559.4537587781069,34.05041032872758,-14.223995805399,0.08391398678849527
nonlinear_missing_context_predicted_1m_plus,2021,325,549.6697261949136,1105.9293711652485,33.42943170278778,22.85178903226989,26.968308635398383,-96.71592856206877,-258.387472136526,0.9425072943992582,9,-1511.1338530323967,40,-607.114630633339,559.4537587781069,34.05041032872758,-9.78403258319338,-0.6209786259397987
nonlinear_complete_context_only,2021,325,551.0674872569773,1078.3746508429138,34.24011942987702,22.14086932442209,27.03688663764934,23.29451801780474,90.61611465148752,1.0201626091205704,9,-1134.1258878024455,40,94.63982328219372,559.4537587781069,34.05041032872758,-8.386271521129629,0.18970910114943962
served_current,2022,343,474.0127239343206,850.8324057357154,28.321469636065714,21.17990177975871,23.046237281261664,-94.49893978129539,-46.09873296315597,0.9899800166813577,9,-1578.1089771765348,49,-50.4081710631408,474.0127239343206,28.321469636065714,0.0,0.0
nonlinear_blend25_predicted_1m_plus,2022,343,450.3276639746538,805.4091978023858,27.607022574089648,20.79488859931002,21.89468272525564,-141.92419897938717,-203.89542237638352,0.9556814558744645,9,-1473.8654742193796,49,-216.11380850991736,474.0127239343206,28.321469636065714,-23.68505995966683,-0.7144470619760668
nonlinear_missing_context_predicted_1m_plus,2022,343,474.9252575157275,867.7894670194713,27.997639995086782,21.61078428795507,23.090604160845967,-200.9513319367627,-377.5495441393432,0.9179361363953145,9,-1741.1171750698595,49,-419.6715508984587,474.0127239343206,28.321469636065714,0.9125335814068762,-0.3238296409789321
nonlinear_complete_context_only,2022,343,462.69726485000064,830.368428245951,28.002571141525273,21.379219322326623,22.496085899587403,-120.65998756038951,-135.83915932872128,0.9704741101760856,9,-1534.8594860817725,49,-148.3748064152399,474.0127239343206,28.321469636065714,-11.315459084319968,-0.3188984945404414
served_current,2023,393,490.89660762971005,993.5294231365657,48.29593315392177,24.483263794932444,25.580719332681323,-165.38368182929554,-328.4186345681993,0.9278187359067083,9,-701.5338137890981,44,-539.7208964071941,490.89660762971005,48.29593315392177,0.0,0.0
nonlinear_blend25_predicted_1m_plus,2023,393,485.4869765127093,1000.7101945599612,47.778447706121646,23.733333921560284,25.29882238504195,-195.6836807097282,-435.84956675635414,0.9042071022420798,9,-683.0082649012264,44,-609.5413071900268,490.89660762971005,48.29593315392177,-5.4096311170007425,-0.5174854478001265
nonlinear_missing_context_predicted_1m_plus,2023,393,500.9390004634281,1042.976099206238,47.76067910416951,24.02037337049241,26.10403040983109,-265.15867131316924,-641.0675307572957,0.8591034129349384,9,-1153.7884985170233,44,-954.1340931555405,490.89660762971005,48.29593315392177,10.042392833718054,-0.5352540497522611
nonlinear_complete_context_only,2023,393,484.3789548023433,990.3324786272226,47.89184736278545,23.877220875372174,25.241083154526084,-185.73594092306215,-404.67121692768745,0.9110596144508799,9,-724.5780943279331,44,-587.1057554525943,490.89660762971005,48.29593315392177,-6.51765282736676,-0.4040857911363247
served_current,2024,405,430.6252215458695,772.754831684219,40.58790521738519,23.99507129997346,22.494149529950224,20.33233276113057,46.29105638713703,1.009875857094047,8,-1086.346282481706,38,-434.6147277976459,430.6252215458695,40.58790521738519,0.0,0.0
nonlinear_blend25_predicted_1m_plus,2024,405,396.7785895629663,700.6159329894236,39.77834538107925,22.750640892266468,20.726136039761464,-24.9052644839138,-119.95464427804505,0.9744085571357496,8,-900.9229344274065,38,-498.44823030088065,430.6252215458695,40.58790521738519,-33.846631982903205,-0.8095598363059437
nonlinear_missing_context_predicted_1m_plus,2024,405,421.6793980726627,763.7705336628202,39.90570137186124,22.752705495143033,22.026855277763886,-82.33678814360508,-282.39478866424326,0.9397531446759855,8,-1284.174818783363,38,-817.2319001716812,430.6252215458695,40.58790521738519,-8.945823473206815,-0.6822038455239507
nonlinear_complete_context_only,2024,405,413.46140351365045,745.5485165412726,40.18885336140824,23.29394399323394,21.597579914413974,-20.233254229291788,-101.90523743447676,0.9782592655993597,8,-1116.0658239220484,38,-568.172049628205,430.6252215458695,40.58790521738519,-17.16381803221907,-0.3990518559769498
served_current,2025,355,557.2826780972645,1031.4034662362183,32.32469877215141,24.543498403002552,23.829469151233344,-233.23738731324818,-417.9189627273888,0.9263709875606455,8,-1308.6581042940743,49,-692.9763095604766,557.2826780972645,32.32469877215141,0.0,0.0
nonlinear_blend25_predicted_1m_plus,2025,355,507.5069367108437,955.424833975872,31.259585551139683,22.54227017528384,21.70105292645978,-238.5721841335613,-490.4606874690497,0.913590577888591,8,-1292.6521496484643,49,-734.7782290122423,557.2826780972645,32.32469877215141,-49.77574138642075,-1.0651132210117247
nonlinear_missing_context_predicted_1m_plus,2025,355,542.5854699786754,1043.301099305267,31.597060499771136,22.820926043209436,23.20101490128796,-330.54551946054767,-754.8040023233461,0.8670185413132531,8,-1708.0829389686733,49,-1094.895535961928,557.2826780972645,32.32469877215141,-14.69720811858906,-0.7276382723802719
nonlinear_complete_context_only,2025,355,510.8459736759125,964.1977139553312,31.372448576562324,22.53703741114249,21.843830517583914,-235.01702137587253,-477.6612266916872,0.9158455884070016,8,-1357.6890287879594,49,-731.8512254768615,557.2826780972645,32.32469877215141,-46.436704421351976,-0.9522501955890839
