holdout_year,variant,feature,branch,component,coefficient,multiplier,train_matches,test_matches
2019,gameday,CollegeGameDayOnsite,regular,0,0.1688324535037573,1.1839217603628427,12,14
2019,gameday,CollegeGameDayOnsite,regular,1,0.12759973454605422,1.1360981708263174,12,14
2019,gameday,CollegeGameDayOnsite,week1,0,0.16308433439819936,1.1771359585551817,12,14
2019,gameday,CollegeGameDayOnsite,week1,1,0.13576724086571268,1.14541525670143,12,14
2019,both,CollegeGameDayOnsite,regular,0,0.1688324535037573,1.1839217603628427,12,14
2019,both,CollegeGameDayOnsite,regular,1,0.12759973454605422,1.1360981708263174,12,14
2019,both,CollegeGameDayOnsite,week1,0,0.16308433439819936,1.1771359585551817,12,14
2019,both,CollegeGameDayOnsite,week1,1,0.13576724086571268,1.14541525670143,12,14
2021,gameday,CollegeGameDayOnsite,regular,0,0.193347796716132,1.2133047035369648,26,15
2021,gameday,CollegeGameDayOnsite,regular,1,0.19675763350398423,1.2174489361128962,26,15
2021,gameday,CollegeGameDayOnsite,week1,0,0.19699233649521497,1.2177347085543841,26,15
2021,gameday,CollegeGameDayOnsite,week1,1,0.19836348856951125,1.2194055532552759,26,15
2021,bignoon,BigNoonKickoffOnsite,regular,0,0.258526360262854,1.2950202864780966,5,12
2021,bignoon,BigNoonKickoffOnsite,regular,1,0.2902375221104785,1.3367449568043641,5,12
2021,bignoon,BigNoonKickoffOnsite,week1,0,0.261122363829682,1.298386531262149,5,12
2021,bignoon,BigNoonKickoffOnsite,week1,1,0.29474300691578037,1.3427812288507512,5,12
2021,both,CollegeGameDayOnsite,regular,0,0.22167071403474764,1.2481603085163349,26,15
2021,both,BigNoonKickoffOnsite,regular,0,0.3335003651963122,1.3958455562990766,5,12
2021,both,CollegeGameDayOnsite,regular,1,0.22484255276716347,1.2521255569670762,26,15
2021,both,BigNoonKickoffOnsite,regular,1,0.3513228805993134,1.4209460477635107,5,12
2021,both,CollegeGameDayOnsite,week1,0,0.22579364950488595,1.2533170160061142,26,15
2021,both,BigNoonKickoffOnsite,week1,0,0.3377283174401313,1.40175961802636,5,12
2021,both,CollegeGameDayOnsite,week1,1,0.22690345188915562,1.2547087223353823,26,15
2021,both,BigNoonKickoffOnsite,week1,1,0.35648749714224204,1.4283036725293754,5,12
2022,gameday,CollegeGameDayOnsite,regular,0,0.1582703341532694,1.1714828437278475,41,12
2022,gameday,CollegeGameDayOnsite,regular,1,0.1652386588506094,1.1796746249081553,41,12
2022,gameday,CollegeGameDayOnsite,week1,0,0.1607308701952581,1.1743688686154818,41,12
2022,gameday,CollegeGameDayOnsite,week1,1,0.16820679526467375,1.1831812616327628,41,12
2022,bignoon,BigNoonKickoffOnsite,regular,0,0.24016195807824203,1.2714550560643567,17,15
2022,bignoon,BigNoonKickoffOnsite,regular,1,0.30030848018284084,1.3502752765006758,17,15
2022,bignoon,BigNoonKickoffOnsite,week1,0,0.2309088901602494,1.2597444591047058,17,15
2022,bignoon,BigNoonKickoffOnsite,week1,1,0.2880016376609902,1.3337594883674804,17,15
2022,both,CollegeGameDayOnsite,regular,0,0.16223108517111062,1.176131996584164,41,12
2022,both,BigNoonKickoffOnsite,regular,0,0.24546362366065333,1.2782137860066354,17,15
2022,both,CollegeGameDayOnsite,regular,1,0.17432567712460223,1.1904432028139804,41,12
2022,both,BigNoonKickoffOnsite,regular,1,0.3098921364531747,1.3632780581946669,17,15
2022,both,CollegeGameDayOnsite,week1,0,0.16434361557605737,1.178619237448152,41,12
2022,both,BigNoonKickoffOnsite,week1,0,0.23602169284907604,1.2662017773930143,17,15
2022,both,CollegeGameDayOnsite,week1,1,0.17671360850021922,1.193289296274386,41,12
2022,both,BigNoonKickoffOnsite,week1,1,0.29753825249593535,1.34653988287902,17,15
2023,gameday,CollegeGameDayOnsite,regular,0,0.16410713920855424,1.1783405548044392,53,14
2023,gameday,CollegeGameDayOnsite,regular,1,0.19680786425356467,1.2175100910214485,53,14
2023,gameday,CollegeGameDayOnsite,week1,0,0.16304485996665408,1.1770894926994788,53,14
2023,gameday,CollegeGameDayOnsite,week1,1,0.19550344516976859,1.215922982976057,53,14
2023,bignoon,BigNoonKickoffOnsite,regular,0,0.1708897413788943,1.1863599353995673,32,15
2023,bignoon,BigNoonKickoffOnsite,regular,1,0.25093110481084024,1.2852215357001286,32,15
2023,bignoon,BigNoonKickoffOnsite,week1,0,0.16701690792560486,1.1817742464904823,32,15
2023,bignoon,BigNoonKickoffOnsite,week1,1,0.24174056192344406,1.273463764965519,32,15
2023,both,CollegeGameDayOnsite,regular,0,0.1646071545321034,1.1789298904643526,53,14
2023,both,BigNoonKickoffOnsite,regular,0,0.17166801886708621,1.1872836120219186,32,15
2023,both,CollegeGameDayOnsite,regular,1,0.19761199529445792,1.218489522421058,53,14
2023,both,BigNoonKickoffOnsite,regular,1,0.251998132584203,1.2865936346773195,32,15
2023,both,CollegeGameDayOnsite,week1,0,0.16314429018126686,1.177206536779119,53,14
2023,both,BigNoonKickoffOnsite,week1,0,0.16717608405152357,1.1819623717088736,32,15
2023,both,CollegeGameDayOnsite,week1,1,0.19619633225843816,1.2167657722569651,53,14
2023,both,BigNoonKickoffOnsite,week1,1,0.24270001080528714,1.2746861746769247,32,15
2024,gameday,CollegeGameDayOnsite,regular,0,0.17028208951817714,1.1856392605592205,67,16
2024,gameday,CollegeGameDayOnsite,regular,1,0.19280791155604815,1.2126498351256405,67,16
2024,gameday,CollegeGameDayOnsite,week1,0,0.17314983028094377,1.1890442465717228,67,16
2024,gameday,CollegeGameDayOnsite,week1,1,0.19064993514540207,1.2100357869286766,67,16
2024,bignoon,BigNoonKickoffOnsite,regular,0,0.17528334182545446,1.1915837943126213,47,15
2024,bignoon,BigNoonKickoffOnsite,regular,1,0.2510633077740678,1.2853914570273561,47,15
2024,bignoon,BigNoonKickoffOnsite,week1,0,0.17234452738754513,1.1880870912512813,47,15
2024,bignoon,BigNoonKickoffOnsite,week1,1,0.2461513700748148,1.279093175318254,47,15
2024,both,CollegeGameDayOnsite,regular,0,0.1690485856982098,1.1841776716253052,67,16
2024,both,BigNoonKickoffOnsite,regular,0,0.1734963490328597,1.1894563440956538,47,15
2024,both,CollegeGameDayOnsite,regular,1,0.189828548449003,1.2090422877105045,67,16
2024,both,BigNoonKickoffOnsite,regular,1,0.24734952762427942,1.2806266489507827,47,15
2024,both,CollegeGameDayOnsite,week1,0,0.1718520167699903,1.1875020898157944,67,16
2024,both,BigNoonKickoffOnsite,week1,0,0.17038075254415086,1.1857562450873094,47,15
2024,both,CollegeGameDayOnsite,week1,1,0.18826377451487153,1.2071518892622637,67,16
