feature,date,season,team1,team2,announcement_date,source_url,source_revision,verification,source_index
CollegeGameDayOnsite,2018-09-01,2018,Michigan,Notre Dame,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,197.0
CollegeGameDayOnsite,2018-09-08,2018,Clemson,Texas A&M,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,209.0
CollegeGameDayOnsite,2018-09-15,2018,Ohio State,TCU,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,1043908.0
CollegeGameDayOnsite,2018-09-22,2018,Stanford,Oregon,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,233.0
CollegeGameDayOnsite,2018-09-29,2018,Ohio State,Penn State,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,1043924.0
CollegeGameDayOnsite,2018-10-06,2018,Texas,Oklahoma,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,259.0
CollegeGameDayOnsite,2018-10-13,2018,Wisconsin,Michigan,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,272.0
CollegeGameDayOnsite,2018-10-20,2018,Oregon,Washington State,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,1043946.0
CollegeGameDayOnsite,2018-10-27,2018,Florida,Georgia,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,296.0
CollegeGameDayOnsite,2018-11-03,2018,Alabama,LSU,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,308.0
CollegeGameDayOnsite,2018-11-10,2018,Clemson,Boston College,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,322.0
CollegeGameDayOnsite,2018-11-17,2018,Cincinnati,UCF,,https://en.wikipedia.org/wiki/List_of_College_GameDay_(football_TV_program)_locations,1374826426,historical_archive,
