source_index,Team 1,Team 2,Station,actual,pred,variant
2000000,Richmond,North Carolina St.,ESPNU,,181.10777997851045,current
2000001,Rutgers,Boston College,ESPN2,,1014.6918721453923,current
2000002,Missouri,Kansas,FOX,,2592.421303651486,current
2000003,Howard,Indiana,BTN,,380.57228401858754,current
2000004,Old Dominion,Virginia Tech,CW,,405.69980671919166,current
2000005,Appalachian St.,East Carolina,ESPNU,,113.54388794371859,current
2000006,Arizona St.,Texas A&M,ABC,,2814.9939194444187,current
2000007,Oregon,Oklahoma St.,ESPN,,2096.972492758264,current
2000008,Wake Forest,Purdue,FS1,,346.77366462497736,current
2000009,Oklahoma,Michigan,FOX,,5298.506780961041,current
2000010,Penn St.,Temple,ESPN2,,609.5397652362512,current
2000011,UTSA,Texas St.,CW,,199.6533036745986,current
2000012,Rice,Notre Dame,NBC,,1478.5727220505632,current
2000013,Utah St.,Washington,BTN,,598.0699318878776,current
2000014,Eastern Michigan,Michigan St.,BTN,,463.5141697873655,current
2000015,Duke,Illinois,FS1,,500.15118717154724,current
2000016,Alabama,Kentucky,ABC,,5664.555151503671,current
2000017,Arizona,BYU,FOX,,1786.8924026845884,current
2000018,UCF,Pittsburgh,ESPN2,,559.7779988279324,current
2000019,Mississippi St.,Minnesota,CBS,,1596.4855601042548,current
2000020,UNLV,North Texas,ESPNU,,65.08128728384065,current
2000021,Bowling Green,Nebraska,FS1,,457.5211387471897,current
2000022,Tennessee,Georgia Tech,ESPN,,1700.890510606694,current
2000023,San Diego St.,UCLA,BTN,,305.66364636041544,current
2000024,Western Illinois,Wisconsin,BTN,,306.80569618207664,current
2000025,Ohio St.,Texas,ABC,,11901.746775121888,current
2000026,Navy,FAU,ESPNU,,52.95520443435349,current
2000027,Iowa St.,Iowa,NBC,,1848.731542341568,current
2000028,Texas Tech,Oregon St.,CBS,,1260.4103010182957,current
2000029,Charlotte,Mississippi,ESPN2,,345.55361715507354,current
2000030,North Dakota State,Air Force,FS1,,177.75030733714374,current
