scope,year,variant,n,mae_000s,bias_000s,aggregate_under_pct,median_ape_pct,mape_pct,underpredicted_pct
all,2021,band_mean,325,501.6538603036215,-150.27540659422758,7.372924780481782,23.354422502255957,29.819633558372807,50.76923076923077
all,2022,band_mean,343,460.21479721590566,-44.17132335447155,2.1475853867490957,21.43313815405257,28.02941203176713,51.31195335276968
all,2023,band_mean,393,471.2960752008467,-82.81890633932936,4.315709592566719,24.842736014701178,48.20785028156612,42.74809160305343
all,2024,band_mean,405,430.7500282718241,83.14516579743743,-4.343172899687753,23.99052972865235,41.9234756418737,34.074074074074076
all,2025,band_mean,355,475.8556524608814,-135.57633544547963,5.797259147127942,20.644644797602403,31.12535766027727,50.140845070422536
all,2021,band_median,325,501.6538603036215,-150.27540659422758,7.372924780481782,23.354422502255957,29.819633558372807,50.76923076923077
all,2022,band_median,343,457.2902149801935,-95.60603398663457,4.6483126581252865,20.55775425656536,27.571837617920604,53.352769679300295
all,2023,band_median,393,471.78730427040915,-142.75099912036973,7.438782803144816,24.243247591544527,47.75255701101245,46.0559796437659
all,2024,band_median,405,412.3518961778527,12.61110319858994,-0.6587538929289094,23.38688971578634,40.43757968214105,37.53086419753087
all,2025,band_median,355,492.0497700772286,-206.00390731657222,8.808749934942373,21.55360608484889,31.01237750591808,54.3661971830986
all,2021,current,325,501.6538603036215,-150.27540659422758,7.372924780481782,23.354422502255957,29.819633558372807,50.76923076923077
all,2022,current,343,456.7251006782351,-130.20042861579068,6.330273050681335,20.082768209545165,27.299346585081057,55.39358600583091
all,2023,current,393,473.47730456613203,-170.3710335325452,8.87806826015457,23.93293134690868,47.61423433039883,47.58269720101781
all,2024,current,405,408.13695897265575,-27.289892965998853,1.4255155116782325,22.8432407779073,39.636299252113815,40.98765432098765
all,2025,current,355,494.8400014121133,-218.9143258586129,9.360800864333306,21.55538758332914,31.12312710039247,55.21126760563381
all,2021,global_mean,325,501.6538603036215,-150.27540659422758,7.372924780481782,23.354422502255957,29.819633558372807,50.76923076923077
all,2022,global_mean,343,460.84593378876843,-2.3610134146871586,0.11479117042997311,21.517885613392824,28.07909144021828,50.14577259475219
all,2023,global_mean,393,469.174929828652,-65.62585946237775,3.4197765186826823,24.25842345923128,48.114470310374294,43.765903307888046
all,2024,global_mean,405,422.7995563962341,112.51858249946768,-5.877523407837515,23.99052972865235,41.404801151040076,33.58024691358025
all,2025,global_mean,355,474.9180275034999,-99.68917512678155,4.262720189879888,20.644644797602403,31.201789486339326,48.732394366197184
all,2021,past_selected,325,501.6538603036215,-150.27540659422758,7.372924780481782,23.354422502255957,29.819633558372807,50.76923076923077
all,2022,past_selected,343,456.7251006782351,-130.20042861579068,6.330273050681335,20.082768209545165,27.299346585081057,55.39358600583091
all,2023,past_selected,393,473.47730456613203,-170.3710335325452,8.87806826015457,23.93293134690868,47.61423433039883,47.58269720101781
all,2024,past_selected,405,412.3518961778527,12.61110319858994,-0.6587538929289094,23.38688971578634,40.43757968214105,37.53086419753087
all,2025,past_selected,355,494.8400014121133,-218.9143258586129,9.360800864333306,21.55538758332914,31.12312710039247,55.21126760563381
major,2021,band_mean,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,band_mean,180,724.4488112852353,-25.197193733326234,0.7445184750114797,17.24102598061728,21.983355330593163,47.22222222222222
major,2023,band_mean,202,783.7156346892868,-180.26070948082082,5.369625173475279,18.090555447623316,24.122942410721397,48.01980198019802
major,2024,band_mean,216,709.785399622359,142.08048074729774,-4.367656751561766,18.41342307065423,27.91643457202309,36.11111111111111
major,2025,band_mean,203,746.9801414162814,-214.0275580223343,5.673520660663412,18.265552437658,22.977093275768944,57.14285714285714
major,2021,band_median,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,band_median,180,718.8758573582948,-123.2088923268369,3.6405362277191045,16.051567203664085,21.111421864207824,51.11111111111111
major,2023,band_median,202,784.6713427305643,-296.8612662280924,8.842934951044978,19.44583189187734,23.237149067515507,54.45544554455446
major,2024,band_median,216,675.288901946163,9.829113374458716,-0.3021540549836388,19.892302160072482,25.13037964752436,42.592592592592595
major,2025,band_median,203,775.2999037502874,-337.1890753338508,8.93833113424094,18.365257432574477,22.7795171437615,64.5320197044335
major,2021,current,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,current,180,717.7990006606741,-189.13043320350653,5.588364450311667,15.470704002292846,20.59217506274137,55.00000000000001
major,2023,current,202,787.9593136029359,-350.59727377257235,10.443628855245956,19.848644383940016,22.96803612949001,57.42574257425742
major,2024,current,216,667.3858946864186,-64.98525443414529,1.997693728148886,18.771831953821632,23.6279788412233,49.074074074074076
major,2025,current,203,780.1793723408497,-359.76640825219795,9.536819319400491,18.69821952304687,22.97319254296547,66.00985221674877
major,2021,global_mean,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,global_mean,180,725.651477087968,54.47467465192961,-1.6095999470353561,16.75542212300251,22.078022203363947,45.0
major,2023,global_mean,202,779.5888518612051,-146.8108707548704,4.373217822206854,18.77055868425297,23.94126751627394,50.0
major,2024,global_mean,216,694.8782648556281,197.15563706360447,-6.060706895135515,19.472480600577278,26.943919901710032,35.18518518518518
major,2025,global_mean,203,745.3404524514026,-151.26922347485734,4.009899812142659,17.472177853355436,23.11075484351294,54.679802955665025
major,2021,past_selected,186,752.3620537781726,-254.85131474735698,8.133580510401261,22.860224509814255,24.88355639395994,55.376344086021504
major,2022,past_selected,180,717.7990006606741,-189.13043320350653,5.588364450311667,15.470704002292846,20.59217506274137,55.00000000000001
major,2023,past_selected,202,787.9593136029359,-350.59727377257235,10.443628855245956,19.848644383940016,22.96803612949001,57.42574257425742
major,2024,past_selected,216,675.288901946163,9.829113374458716,-0.3021540549836388,19.892302160072482,25.13037964752436,42.592592592592595
major,2025,past_selected,203,780.1793723408497,-359.76640825219795,9.536819319400491,18.69821952304687,22.97319254296547,66.00985221674877
major_2022_2025,2022,band_mean,180,724.4488112852353,-25.197193733326234,0.7445184750114797,17.24102598061728,21.983355330593163,47.22222222222222
major_2022_2025,2023,band_mean,202,783.7156346892868,-180.26070948082082,5.369625173475279,18.090555447623316,24.122942410721397,48.01980198019802
major_2022_2025,2024,band_mean,216,709.785399622359,142.08048074729774,-4.367656751561766,18.41342307065423,27.91643457202309,36.11111111111111
major_2022_2025,2025,band_mean,203,746.9801414162814,-214.0275580223343,5.673520660663412,18.265552437658,22.977093275768944,57.14285714285714
major_2022_2025,2022,band_median,180,718.8758573582948,-123.2088923268369,3.6405362277191045,16.051567203664085,21.111421864207824,51.11111111111111
major_2022_2025,2023,band_median,202,784.6713427305643,-296.8612662280924,8.842934951044978,19.44583189187734,23.237149067515507,54.45544554455446
major_2022_2025,2024,band_median,216,675.288901946163,9.829113374458716,-0.3021540549836388,19.892302160072482,25.13037964752436,42.592592592592595
major_2022_2025,2025,band_median,203,775.2999037502874,-337.1890753338508,8.93833113424094,18.365257432574477,22.7795171437615,64.5320197044335
major_2022_2025,2022,current,180,717.7990006606741,-189.13043320350653,5.588364450311667,15.470704002292846,20.59217506274137,55.00000000000001
major_2022_2025,2023,current,202,787.9593136029359,-350.59727377257235,10.443628855245956,19.848644383940016,22.96803612949001,57.42574257425742
major_2022_2025,2024,current,216,667.3858946864186,-64.98525443414529,1.997693728148886,18.771831953821632,23.6279788412233,49.074074074074076
major_2022_2025,2025,current,203,780.1793723408497,-359.76640825219795,9.536819319400491,18.69821952304687,22.97319254296547,66.00985221674877
major_2022_2025,2022,global_mean,180,725.651477087968,54.47467465192961,-1.6095999470353561,16.75542212300251,22.078022203363947,45.0
major_2022_2025,2023,global_mean,202,779.5888518612051,-146.8108707548704,4.373217822206854,18.77055868425297,23.94126751627394,50.0
major_2022_2025,2024,global_mean,216,694.8782648556281,197.15563706360447,-6.060706895135515,19.472480600577278,26.943919901710032,35.18518518518518
major_2022_2025,2025,global_mean,203,745.3404524514026,-151.26922347485734,4.009899812142659,17.472177853355436,23.11075484351294,54.679802955665025
major_2022_2025,2022,past_selected,180,717.7990006606741,-189.13043320350653,5.588364450311667,15.470704002292846,20.59217506274137,55.00000000000001
major_2022_2025,2023,past_selected,202,787.9593136029359,-350.59727377257235,10.443628855245956,19.848644383940016,22.96803612949001,57.42574257425742
major_2022_2025,2024,past_selected,216,675.288901946163,9.829113374458716,-0.3021540549836388,19.892302160072482,25.13037964752436,42.592592592592595
major_2022_2025,2025,past_selected,203,780.1793723408497,-359.76640825219795,9.536819319400491,18.69821952304687,22.97319254296547,66.00985221674877
major_2024_2025,2024,band_mean,216,709.785399622359,142.08048074729774,-4.367656751561766,18.41342307065423,27.91643457202309,36.11111111111111
major_2024_2025,2025,band_mean,203,746.9801414162814,-214.0275580223343,5.673520660663412,18.265552437658,22.977093275768944,57.14285714285714
major_2024_2025,2024,band_median,216,675.288901946163,9.829113374458716,-0.3021540549836388,19.892302160072482,25.13037964752436,42.592592592592595
major_2024_2025,2025,band_median,203,775.2999037502874,-337.1890753338508,8.93833113424094,18.365257432574477,22.7795171437615,64.5320197044335
major_2024_2025,2024,current,216,667.3858946864186,-64.98525443414529,1.997693728148886,18.771831953821632,23.6279788412233,49.074074074074076
major_2024_2025,2025,current,203,780.1793723408497,-359.76640825219795,9.536819319400491,18.69821952304687,22.97319254296547,66.00985221674877
major_2024_2025,2024,global_mean,216,694.8782648556281,197.15563706360447,-6.060706895135515,19.472480600577278,26.943919901710032,35.18518518518518
major_2024_2025,2025,global_mean,203,745.3404524514026,-151.26922347485734,4.009899812142659,17.472177853355436,23.11075484351294,54.679802955665025
major_2024_2025,2024,past_selected,216,675.288901946163,9.829113374458716,-0.3021540549836388,19.892302160072482,25.13037964752436,42.592592592592595
major_2024_2025,2025,past_selected,203,780.1793723408497,-359.76640825219795,9.536819319400491,18.69821952304687,22.97319254296547,66.00985221674877
major_pred_ge5M,2021,band_mean,24,1774.557235220278,-340.73376784277804,4.58882671737173,19.884069795908218,24.51951541433401,45.83333333333333
major_pred_ge5M,2022,band_mean,29,1622.1853147177476,31.40705570114645,-0.4230594153621592,19.96733706511674,23.944535398569798,51.724137931034484
major_pred_ge5M,2023,band_mean,23,1154.4766323210536,-276.5262863423336,3.354308626060698,9.372182848588377,15.634971277623794,52.17391304347826
major_pred_ge5M,2024,band_mean,36,1374.2561919364207,-356.5577036269047,4.52165609784716,14.595517522900451,19.80030044275172,55.55555555555556
major_pred_ge5M,2025,band_mean,42,1333.6005284236048,-386.4868244701872,4.465032383177858,12.689840903288164,15.585324861697368,61.904761904761905
major_pred_ge5M,2021,band_median,24,1774.557235220278,-340.73376784277804,4.58882671737173,19.884069795908218,24.51951541433401,45.83333333333333
major_pred_ge5M,2022,band_median,29,1637.5872599523846,-113.08005140910129,1.5232112456983082,19.612948795225467,23.593261477419396,51.724137931034484
major_pred_ge5M,2023,band_median,23,1176.6044300326198,-452.87139700494566,5.493403370662797,10.400530702688165,15.404762243013142,56.52173913043478
major_pred_ge5M,2024,band_median,36,1374.5766832280751,-358.3269653043756,4.5440928388606245,14.616136487717878,19.799784395251066,55.55555555555556
major_pred_ge5M,2025,band_median,42,1343.7285539784466,-408.1640092517664,4.7154661001837965,13.35267414212434,15.665082312634116,64.28571428571429
major_pred_ge5M,2021,current,24,1774.557235220278,-340.73376784277804,4.58882671737173,19.884069795908218,24.51951541433401,45.83333333333333
major_pred_ge5M,2022,current,29,1638.3286254491225,-83.79697873444071,1.128762312833298,18.930084637686495,23.686739822744773,51.724137931034484
major_pred_ge5M,2023,current,23,1153.89174792548,-359.8625612131931,4.365191133328117,9.79205640014442,15.348636895506704,56.52173913043478
major_pred_ge5M,2024,current,36,1398.99694103026,-469.3988766997804,5.952641806817027,15.267809759711447,19.755741089610076,63.888888888888886
major_pred_ge5M,2025,current,42,1398.660628080519,-605.4187096786418,6.994324186348622,13.704923504835747,16.064669062037957,66.66666666666666
