holdout_year,variant,feature,branch,component,coefficient,multiplier
2019,own_strength,SlateOwnLogAudience,regular,0,-1.0022510929629025,0.3670522417509358
2019,own_strength,Competing_Games_Score,regular,0,-0.0079820001827278,0.9920497713909626
2019,own_strength,SlateOwnLogAudience,regular,1,-0.9153008049134612,0.4003961668400433
2019,own_strength,Competing_Games_Score,regular,1,-0.0108394299036241,0.9892191050306854
2019,own_strength,SlateOwnLogAudience,week1,0,-1.0066389657119443,0.3654451915661727
2019,own_strength,Competing_Games_Score,week1,0,-0.0072400538709303,0.9927860921814354
2019,own_strength,SlateOwnLogAudience,week1,1,-0.9175298057655692,0.3995046773774716
2019,own_strength,Competing_Games_Score,week1,1,-0.0102441675894632,0.9898081251777134
2019,leader,SlateOwnLogAudience,regular,0,-1.0024596288188443,0.3669757061780099
2019,leader,SlateLeader,regular,0,0.10246368496749,1.1078970678612217
2019,leader,CompetitionXLeader,regular,0,0.0002739768621165,1.0002740143972049
2019,leader,Competing_Games_Score,regular,0,-0.005835466154782,0.9941815271072368
2019,leader,SlateOwnLogAudience,regular,1,-0.9290695308963725,0.3949210012587356
2019,leader,SlateLeader,regular,1,0.0997632461900717,1.1049092956214497
2019,leader,CompetitionXLeader,regular,1,-0.0008625376712503,0.9991378342074392
2019,leader,Competing_Games_Score,regular,1,-0.0091488350843864,0.990892888170639
2019,leader,SlateOwnLogAudience,week1,0,-1.0012490734155313,0.3674202196017876
2019,leader,SlateLeader,week1,0,0.1669931796392132,1.1817462053453969
2019,leader,CompetitionXLeader,week1,0,-0.0109809327238876,0.9890791376405887
2019,leader,Competing_Games_Score,week1,0,-0.0045845543272673,0.9954259387005128
2019,leader,SlateOwnLogAudience,week1,1,-0.9490537187934472,0.3871071624246909
2019,leader,SlateLeader,week1,1,0.1919885679483348,1.211656665164127
2019,leader,CompetitionXLeader,week1,1,-0.0147992324944667,0.9853097379249212
2019,leader,Competing_Games_Score,week1,1,-0.0077079698681922,0.9923216603530596
2019,share,SlateOwnLogAudience,regular,0,-1.025566490105995,0.3585932683182369
2019,share,SlateAudienceShare,regular,0,0.2430453035767517,1.2751263905962402
2019,share,CompetitionXShare,regular,0,0.0183389281962287,1.0185081190168286
2019,share,Competing_Games_Score,regular,0,-0.0048740770026902,0.995137782035512
