scope,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s,mae_improvement_pct
all,current,1821,464.98323103296394,35.6226590855278,22.519726903912296,45.03020318506315,63.59143327841845,17.57276221856123,-136.85945231612715,0.0
all,leader,1821,495.06716435140345,39.913011176147016,23.074641136684992,43.87699066447007,61.39483800109829,19.659527732015373,-132.39041371771333,-6.4698963985449165
all,leader_only,1821,466.51856776454935,35.54431842694526,22.593836400849707,45.19494783086216,63.207029104887425,17.243272926963208,-140.00908950122246,-0.33019184975222604
all,own_strength,1821,494.3515474889233,39.980764573120226,23.38650991742763,43.76716090060406,61.23009335529929,19.824272377814385,-130.35567112951816,-6.315994749040188
all,past_selected,1821,465.83890858502,35.533978110935614,22.584141939682652,45.414607358594175,63.152114222954424,17.462932454695224,-139.68078388875375,-0.18402331416451645
all,share,1821,497.6990784996734,39.76014688557189,23.18935031692221,44.590884129599125,61.3399231191653,19.824272377814385,-122.23097088761718,-7.035919853288242
all,share_only,1821,484.95701832375335,36.0913516901396,22.373916464113385,44.97528830313015,63.536518396485455,18.12191103789127,-124.3631129596181,-4.295593035993472
all,stronger,1821,494.00475735884817,39.82289309587624,23.247135211439765,43.986820428336074,61.44975288303131,19.71444261394838,-130.76628606568522,-6.24141353687373
all,stronger_only,1821,467.8229329681025,35.58607545594109,22.57258838909459,44.53596924766612,63.426688632619445,17.682591982427237,-136.801823774247,-0.6107106118279138
major,current,987,740.468803755738,23.04121359134063,18.930084637686495,52.988855116514685,72.3404255319149,8.814589665653495,-242.48821444242228,0.0
major,leader,987,780.4373344920439,23.940362438468444,19.560612368128474,51.3677811550152,70.11144883485308,9.422492401215806,-261.38915824845515,-5.397733237859748
major,leader_only,987,744.0675594310156,23.1213244269387,18.941561069839945,52.38095238095239,71.3272543059777,8.409321175278622,-249.00024595570088,-0.48601043785023723
major,own_strength,987,778.5413689871874,23.898238095985455,19.539994033292395,51.266464032421474,70.11144883485308,9.625126646403242,-256.9591021231234,-5.14168389516767
major,past_selected,987,742.6726814273218,23.083716499866252,18.688778926843103,52.78622087132725,71.42857142857143,8.713272543059777,-248.17660262039286,-0.2976327510903154
major,share,987,785.7313842433107,23.977010500050227,19.59985994906594,51.469098277608914,70.11144883485308,9.523809523809524,-241.70095367667332,-6.112692426473054
major,share_only,987,778.4153337234166,23.607406427448836,18.907751399102708,51.874366767983794,72.44174265450862,9.72644376899696,-225.74387300254097,-5.124662885891973
major,stronger,987,778.1245280396287,23.883666907042812,19.419680859513814,51.469098277608914,70.41540020263425,9.422492401215806,-257.595861709999,-5.0853897008080295
major,stronger_only,987,745.9060779311473,23.22071144492972,19.19809754605897,51.77304964539007,71.02330293819655,9.118541033434651,-242.38793104919768,-0.7343015867556923
FOX,current,205,905.435406058209,25.794243694510875,21.55538758332914,47.80487804878049,67.8048780487805,11.707317073170733,-261.1520869345078,0.0
FOX,leader,205,953.1788358076126,26.066769020290124,21.82264233682206,46.82926829268293,64.39024390243902,11.707317073170733,-338.7038812246371,-5.272980207086597
FOX,leader_only,205,905.1130951281705,25.77127069938536,21.986218395867176,46.82926829268293,66.82926829268293,11.219512195121952,-270.4653251929844,0.035597341111459624
FOX,own_strength,205,958.0703320444504,26.228439255532162,22.17038241130891,47.3170731707317,63.90243902439025,11.707317073170733,-328.72169274725013,-5.813217114557778
FOX,past_selected,205,905.575581851478,25.713131962015837,21.55538758332914,46.82926829268293,67.31707317073172,10.731707317073171,-271.4154608259907,-0.015481589556931574
FOX,share,205,949.8215824748495,26.151099696781035,21.900816723098984,46.34146341463415,63.90243902439025,11.707317073170733,-320.49967854284694,-4.902191378827858
FOX,share_only,205,923.5995606992362,26.09019047211831,23.02770367566922,43.41463414634146,67.8048780487805,12.682926829268293,-299.69589299154893,-2.006123741074406
FOX,stronger,205,958.1959797087869,26.204705629187064,22.008604347868797,46.82926829268293,63.90243902439025,11.219512195121952,-330.030693751322,-5.827094157966473
FOX,stronger_only,205,907.9407739224758,25.95628098745833,21.338559609744248,45.36585365853659,65.85365853658537,11.707317073170733,-260.12051768330133,-0.27670310300476064
slate_leaders,current,358,940.9988369774924,22.1322110161536,17.002968800242225,57.262569832402235,75.41899441340783,8.938547486033519,-261.7714629341528,0.0
slate_leaders,leader,358,1008.9954078079978,22.65788802476909,17.064767883977783,56.14525139664804,73.18435754189943,8.100558659217876,-309.96983654707805,-7.225999454888998
slate_leaders,leader_only,358,939.5569032846532,21.97653416996043,16.025429542978713,58.93854748603352,74.02234636871509,8.100558659217876,-265.5584823633202,0.1532343756630583
slate_leaders,own_strength,358,1004.5028102655775,22.713911992272514,16.542502795613636,56.14525139664804,72.90502793296089,8.659217877094973,-285.1131162806399,-6.748570858180991
slate_leaders,past_selected,358,941.8133484405344,21.921704433556304,16.372615027110626,58.93854748603352,74.30167597765363,8.938547486033519,-274.6554593392756,-0.08655817956781942
slate_leaders,share,358,1014.4113897950117,23.165703897711673,18.06086502311441,54.46927374301676,72.3463687150838,9.217877094972067,-260.3239013486746,-7.801556169115154
slate_leaders,share_only,358,1001.4887404912644,23.035424701967525,17.53904022879069,55.3072625698324,74.30167597765363,9.776536312849162,-215.76200538655988,-6.428265491598983
slate_leaders,stronger,358,1005.0429096258696,22.724599200564363,16.47834799502833,56.70391061452514,73.74301675977654,8.659217877094973,-285.7126832802993,-6.805967247960476
slate_leaders,stronger_only,358,936.1520559555665,22.047343215618632,16.989306012523052,57.54189944134078,73.74301675977654,9.217877094972067,-239.08974369752812,0.5150676952475064
lower_draws,current,931,246.0702041047047,43.73099951649659,24.49517996674556,40.171858216971,58.86143931256713,23.200859291084853,-56.211395669321604,0.0
lower_draws,leader,931,268.08436333046785,50.876583120146336,26.449047312456603,38.66809881847476,55.639097744360896,26.53061224489796,-27.21516689549531,-8.94629209816722
lower_draws,leader_only,931,246.8521684351665,43.628636882808365,25.06712117743502,40.70891514500537,59.07626208378088,22.986036519871107,-55.207944389309624,-0.3177809899036266
lower_draws,own_strength,931,268.21072445900404,50.93932640060729,26.33974611304067,38.66809881847476,55.316863587540276,26.53061224489796,-29.38261530642037,-8.99764375571388
lower_draws,past_selected,931,246.32841692019076,43.61919799951447,24.808846424432794,40.70891514500537,58.968850698174,22.986036519871107,-55.14125291184373,-0.10493461263445525
lower_draws,share,931,267.30362384249446,50.92141657114967,26.497788673077213,39.95703544575725,55.316863587540276,26.53061224489796,-29.9534717508162,-8.629008869661758
lower_draws,share_only,931,249.46265182669862,44.77392939719814,25.193077076918843,40.923737916219125,58.64661654135338,24.06015037593985,-48.81184662628353,-1.378650346691468
lower_draws,stronger,931,267.8601321648447,50.71566554574023,26.581239739746223,38.88292158968851,55.20945220193341,26.53061224489796,-28.803394190365648,-8.855167223280812
lower_draws,stronger_only,931,250.16434998488265,43.72675582756881,25.054241589533063,40.171858216971,58.968850698174,22.986036519871107,-58.441625749298105,-1.663812120233743
