year,variant,component,feature,status,training_games
2019,week1_major_days,primary,Week1Major_Weekday,estimated,1
2019,week1_major_days,primary,Week1Major_Friday,estimated,1
2019,week1_major_days,primary,Week1Major_Saturday,estimated,8
2019,week1_major_days,primary,Week1Major_Sunday,redundant,1
2019,week1_major_days,primary,Week1Major_Monday,redundant,1
2019,week1_major_days,exact_network,Week1Major_Weekday,estimated,1
2019,week1_major_days,exact_network,Week1Major_Friday,estimated,1
2019,week1_major_days,exact_network,Week1Major_Saturday,estimated,8
2019,week1_major_days,exact_network,Week1Major_Sunday,redundant,1
2019,week1_major_days,exact_network,Week1Major_Monday,redundant,1
2019,week1_major_days_shrink10,primary,Week1Major_Weekday,estimated,1
2019,week1_major_days_shrink10,primary,Week1Major_Friday,estimated,1
2019,week1_major_days_shrink10,primary,Week1Major_Saturday,estimated,8
2019,week1_major_days_shrink10,primary,Week1Major_Sunday,redundant,1
2019,week1_major_days_shrink10,primary,Week1Major_Monday,redundant,1
2019,week1_major_days_shrink10,exact_network,Week1Major_Weekday,estimated,1
2019,week1_major_days_shrink10,exact_network,Week1Major_Friday,estimated,1
2019,week1_major_days_shrink10,exact_network,Week1Major_Saturday,estimated,8
2019,week1_major_days_shrink10,exact_network,Week1Major_Sunday,redundant,1
2019,week1_major_days_shrink10,exact_network,Week1Major_Monday,redundant,1
2021,week1_major_days,primary,Week1Major_Weekday,estimated,3
2021,week1_major_days,primary,Week1Major_Friday,estimated,3
2021,week1_major_days,primary,Week1Major_Saturday,estimated,16
2021,week1_major_days,primary,Week1Major_Sunday,redundant,2
2021,week1_major_days,primary,Week1Major_Monday,redundant,2
2021,week1_major_days,exact_network,Week1Major_Weekday,estimated,3
2021,week1_major_days,exact_network,Week1Major_Friday,estimated,3
2021,week1_major_days,exact_network,Week1Major_Saturday,estimated,16
2021,week1_major_days,exact_network,Week1Major_Sunday,redundant,2
2021,week1_major_days,exact_network,Week1Major_Monday,redundant,2
2021,week1_major_days_shrink10,primary,Week1Major_Weekday,estimated,3
2021,week1_major_days_shrink10,primary,Week1Major_Friday,estimated,3
2021,week1_major_days_shrink10,primary,Week1Major_Saturday,estimated,16
2021,week1_major_days_shrink10,primary,Week1Major_Sunday,redundant,2
2021,week1_major_days_shrink10,primary,Week1Major_Monday,redundant,2
2021,week1_major_days_shrink10,exact_network,Week1Major_Weekday,estimated,3
2021,week1_major_days_shrink10,exact_network,Week1Major_Friday,estimated,3
2021,week1_major_days_shrink10,exact_network,Week1Major_Saturday,estimated,16
2021,week1_major_days_shrink10,exact_network,Week1Major_Sunday,redundant,2
2021,week1_major_days_shrink10,exact_network,Week1Major_Monday,redundant,2
2022,week1_major_days,primary,Week1Major_Weekday,estimated,6
2022,week1_major_days,primary,Week1Major_Friday,estimated,5
2022,week1_major_days,primary,Week1Major_Saturday,estimated,25
2022,week1_major_days,primary,Week1Major_Sunday,redundant,4
2022,week1_major_days,primary,Week1Major_Monday,redundant,3
2022,week1_major_days,exact_network,Week1Major_Weekday,estimated,6
2022,week1_major_days,exact_network,Week1Major_Friday,estimated,5
2022,week1_major_days,exact_network,Week1Major_Saturday,estimated,25
2022,week1_major_days,exact_network,Week1Major_Sunday,redundant,4
2022,week1_major_days,exact_network,Week1Major_Monday,redundant,3
2022,week1_major_days_shrink10,primary,Week1Major_Weekday,estimated,6
2022,week1_major_days_shrink10,primary,Week1Major_Friday,estimated,5
2022,week1_major_days_shrink10,primary,Week1Major_Saturday,estimated,25
2022,week1_major_days_shrink10,primary,Week1Major_Sunday,redundant,4
2022,week1_major_days_shrink10,primary,Week1Major_Monday,redundant,3
