scope,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s,mae_delta_000s,year_wins,season_ci05_000s,season_ci95_000s
all,current,1821,481.5844115965767,36.77546490163528,22.73532141782027,43.65733113673805,62.60296540362438,18.72597473915431,-108.97056162080638,0.0,0,0.0,0.0
all,week1_major_days,1821,479.430052569368,36.73514459459253,22.750640892266468,43.60241625480506,62.7677100494234,18.5612300933553,-107.28343936752006,-2.154359027208641,5,-3.8693970275450686,-0.861763944219088
all,week1_major_days_shrink10,1821,481.30619307634,36.77103832567546,22.73532141782027,43.54750137287205,62.65788028555739,18.616144975288304,-108.7882047492694,-0.2782185202366255,3,-0.7124830654591136,0.10987408439984046
major,current,987,769.4413693402203,24.08505044841442,19.519167144010908,51.06382978723404,70.7193515704154,10.94224924012158,-197.7743711326253,0.0,0,0.0,0.0
major,week1_major_days,987,765.466609676039,24.010660094691183,19.552807791023856,50.96251266464032,71.02330293819655,10.638297872340425,-194.66165621546787,-3.9747596641812923,5,-7.029140296964556,-1.6376982803117275
major,week1_major_days_shrink10,987,768.9280603986286,24.076883483041748,19.661610506594947,50.86119554204661,70.82066869300911,10.739614994934144,-197.43792547602058,-0.5133089415915857,3,-1.2663929768621989,0.20880497528299663
opening,current,122,649.0507999543639,35.54665447885379,24.892906416581347,40.16393442622951,58.19672131147541,22.950819672131146,-199.20598703575007,0.0,0,0.0,0.0
opening,week1_major_days,122,616.8943426711921,34.94482432209283,25.168212459580815,39.34426229508197,60.65573770491803,20.491803278688526,-174.02361307481277,-32.1564572831716,5,-53.65668789852216,-13.335136792134477
opening,week1_major_days_shrink10,122,644.898046467881,35.48058239014209,25.036355200025536,38.52459016393443,59.01639344262295,21.311475409836063,-196.4840865187925,-4.152753486482746,3,-10.80037795922353,1.5261187164066077
major_week1,current,74,893.201672494488,26.712917693875003,21.07411009042341,48.64864864864865,67.56756756756756,17.56756756756757,-348.8063997087735,0.0,0,0.0,0.0
major_week1,week1_major_days,74,840.1869726492592,25.720711219215026,22.407944147835526,47.2972972972973,71.62162162162163,13.513513513513514,-307.28951290830923,-53.014699845228854,5,-84.13285071464705,-23.153956668383856
major_week1,week1_major_days_shrink10,74,886.3552410708276,26.603988034107065,21.121464199213683,45.94594594594595,68.91891891891892,14.864864864864865,-344.31894209973524,-6.846431423660744,3,-16.063473633330116,2.8826686865458147
major_later,current,907,757.4781092407022,23.819568478390277,19.46937210228648,51.37816979051819,71.1135611907387,10.363836824696802,-185.59319975913417,0.0,0,0.0,0.0
major_later,week1_major_days,907,757.4781092407022,23.819568478390277,19.46937210228648,51.37816979051819,71.1135611907387,10.363836824696802,-185.59319975913417,0.0,0,0.0,0.0
major_later,week1_major_days_shrink10,907,757.4781092407022,23.819568478390277,19.46937210228648,51.37816979051819,71.1135611907387,10.363836824696802,-185.59319975913417,0.0,0,0.0,0.0
week0,current,9,733.0653032024521,27.516575037511902,29.450906911707033,44.44444444444444,55.55555555555556,11.11111111111111,-148.1724109335735,0.0,0,0.0,0.0
week0,week1_major_days,9,733.0653032024521,27.516575037511902,29.450906911707033,44.44444444444444,55.55555555555556,11.11111111111111,-148.1724109335735,0.0,0,0.0,0.0
week0,week1_major_days_shrink10,9,733.0653032024521,27.516575037511902,29.450906911707033,44.44444444444444,55.55555555555556,11.11111111111111,-148.1724109335735,0.0,0,0.0,0.0
week1,current,113,642.3593793416842,36.186218328164216,24.887658717774976,39.823008849557525,58.4070796460177,23.893805309734514,-203.27060814123317,0.0,0,0.0,0.0
week1,week1_major_days,113,607.6417882925963,35.536454796086,24.898154115387715,38.93805309734513,61.06194690265486,21.238938053097346,-176.08255837809733,-34.71759104908792,5,-57.65076411628073,-14.633352376673415
week1,week1_major_days_shrink10,113,637.875875577517,36.11488386070556,24.898154115387715,38.05309734513274,59.29203539823009,22.123893805309734,-200.33191908752676,-4.483503764167213,3,-11.731445024673835,1.660417163450389
