source_row,team1,team2,network,viewers_000s,reported_date,reported_time,scheduled_date,kickoff_utc,broadcast_type,training_eligible,cfbd_game_id,source_index,source
1,Ohio St.,Texas,ABC,13990,09/11/26,7:30p,09/12/26,2026-09-12T23:30:00.000Z,game,true,401856682,1044057,"User-provided official Week 2 ratings, September 15, 2026"
2,Oklahoma,Michigan,FOX,8220,09/11/26,12:00p,09/12/26,2026-09-12T16:00:00.000Z,game,true,401856679,1044037,"User-provided official Week 2 ratings, September 15, 2026"
3,Alabama,Kentucky,ABC,7280,09/11/26,3:30p,09/12/26,2026-09-12T19:30:00.000Z,game,true,401856674,1044046,"User-provided official Week 2 ratings, September 15, 2026"
4,Missouri,Kansas,FOX,3090,09/10/26,8:00p,09/11/26,2026-09-12T00:00:00.000Z,game,true,401856678,1044036,"User-provided official Week 2 ratings, September 15, 2026"
5,Arizona,BYU,FOX,3010,09/11/26,3:30p,09/12/26,2026-09-12T19:30:00.000Z,game,true,401856810,1044049,"User-provided official Week 2 ratings, September 15, 2026"
6,Arizona St.,Texas A&M,ABC,2530,09/11/26,12:00p,09/12/26,2026-09-12T16:00:00.000Z,game,true,401856683,1044038,"User-provided official Week 2 ratings, September 15, 2026"
7,Oregon,Oklahoma St.,ESPN,2140,09/11/26,1:30p,09/12/26,2026-09-12T16:00:00.000Z,game,true,401856782,1044040,"User-provided official Week 2 ratings, September 15, 2026"
8,Iowa St.,Iowa,NBC,1990,09/11/26,7:30p,09/12/26,2026-09-12T23:30:00.000Z,game,true,401856788,1044059,"User-provided official Week 2 ratings, September 15, 2026"
9,Tennessee,Georgia Tech,ESPN,1800,09/11/26,7:00p,09/12/26,2026-09-12T23:00:00.000Z,game,true,401856681,1044055,"User-provided official Week 2 ratings, September 15, 2026"
10,Rice,Notre Dame,NBC,1630,09/11/26,3:30p,09/12/26,2026-09-12T19:30:00.000Z,game,true,401859184,1044051,"User-provided official Week 2 ratings, September 15, 2026"
11,Texas Tech,Oregon St.,CBS,1230,09/11/26,7:30p,09/12/26,2026-09-12T23:30:00.000Z,game,true,401856783,1044058,"User-provided official Week 2 ratings, September 15, 2026"
