Team,Viewers
Alabama,101033.0
Georgia,90956.0
Ohio St.,88092.0
Texas,69318.0
Oklahoma,58896.0
Michigan,52848.0
LSU,51405.0
Texas A&M,42886.0
Indiana,42300.0
Mississippi,39353.0
Notre Dame,38184.0
Florida,37513.0
Miami,36867.0
Tennessee,36761.0
Oregon,35505.0
Penn St.,33615.0
BYU,28952.0
Florida St.,28438.0
Auburn,26748.0
Texas Tech,26547.0
Vanderbilt,25136.0
Georgia Tech,24684.0
Nebraska,24111.0
Missouri,24078.0
Clemson,23034.0
USC,21963.0
Wisconsin,20739.0
South Carolina,20721.0
Iowa,20572.0
Colorado,19987.0
Iowa St.,18649.0
Washington,18632.0
UCLA,17553.0
TCU,17318.0
Illinois,17102.0
Arkansas,14992.0
Utah,13403.0
Virginia,13033.0
Minnesota,12940.0
Pittsburgh,12853.0
Kentucky,12355.0
Cincinnati,11666.0
Syracuse,11623.0
North Carolina,11419.0
Virginia Tech,10942.0
Kansas St.,10028.0
Duke,10026.0
Louisville,9399.0
Michigan St.,9369.0
Mississippi St.,9280.0
Rutgers,8814.0
Houston,8294.0
Arizona St.,8115.0
Maryland,8037.0
Northwestern,7698.0
North Carolina St.,6613.0
Purdue,6599.0
California,6520.0
Navy,6246.0
Stanford,6121.0
South Florida,6088.0
Tulane,5879.0
Boise St.,5863.0
Wake Forest,5171.0
Arizona,4995.0
Oklahoma St.,4993.0
Oregon St.,4967.0
Memphis,4859.0
Washington St.,4800.0
SMU,4663.0
North Texas,4640.0
Kansas,4548.0
West Virginia,4429.0
San Jose St.,4296.0
Delaware,3687.0
UCF,3407.0
Army,2913.0
Baylor,2875.0
Air Force,2761.0
James Madison,2749.0
East Carolina,2671.0
UTSA,2335.0
Nevada,2240.0
Tulsa,2169.0
Marshall,2076.0
Boston College,2035.0
Utah St.,2008.0
UNLV,2001.0
Miami Ohio,1954.0
Charlotte,1851.0
Western Michigan,1808.0
Troy,1712.0
Temple,1508.0
Wyoming,1461.0
Ohio,1079.0
Middle Tennessee St.,1058.0
Fresno St.,1002.0
Toledo,988.0
Southern Miss,943.0
Rice,935.0
Jacksonville St.,914.0
Arkansas St.,887.0
South Alabama,756.0
San Diego St.,661.0
Colorado St.,599.0
Old Dominion,578.0
Eastern Michigan,514.0
Georgia St.,452.0
Kennesaw State,416.0
Georgia Southern,365.0
Louisiana Tech,354.0
Missouri State,338.0
Northern Illinois,334.0
Appalachian St.,329.0
FIU,329.0
Coastal Carolina,324.0
Lafayette,304.0
UAB,295.0
Sam Houston,295.0
Texas St.,267.0
Hawaii,259.0
Ball St.,257.0
Louisiana,207.0
Massachusetts,195.0
FAU,189.0
Kent St.,169.0
Central Michigan,157.0
Bowling Green,87.0
Akron,70.0
Liberty,67.0
Buffalo,63.0
UTEP,50.0
Western Kentucky,47.0
