Unnamed: 0,Date,DoW,HELPER,Time Slot,Team 1,Team 2,City,Persons 2+,Winner,Winner Score,Loser Score,25-11 Rankings,Top 10 Rankings,Competing Tier 1,FOX,FS1,ESPN2,NBC,CBS,ABC,CW,ESPNU,FS2,NFLN,BTN,ESPNNEWS,Daytime (11a-6:30p),Sat Late (9:30p-Later),Sun,Mon,Midweek,Spread,SEC/Big 10,Big 12/ACC,Conf Champ,Team 1 11-25?,Team 1 Top 10?,Team 2 11-25?,Team 2 Top 10?,Score Diff,Spread Help,Team1_SEC,Team2_SEC,Team1_Big Ten,Team2_Big Ten,Team1_ACC,Team2_ACC,Team1_Big 12,Team2_Big 12,Big 12,SEC,ACC,Big 10,Pac 12,#1-5,#6-10,#11-15,#16-25,source_index,team1_games_before,team1_win_pct_before,team2_games_before,team2_win_pct_before,avg_win_pct_before,win_pct_diff_before,Team1_WinPct_ToDate,Team2_WinPct_ToDate,Avg_WinPct_ToDate,WinPct_Diff_ToDate,ParsedDate,Year,Time_float,Monday,Weekday,Black Friday,Friday,Friday Power,Friday Non-Power,Week 0 Power,Week 1 Power,Sat Early,Sat Mid,Sat Late,OldNielsenSystem,DeionEra,DeionEra25,Michigan_OhioSt,Texas_Oklahoma,Alabama_Auburn,Georgia_Florida,NotreDame_USC,Florida_Tennessee,Oregon_Washington,BYU_Utah,Iowa_IowaSt,OleMiss_MississippiSt,Clemson_SouthCarolina,Arizona_ArizonaSt,Miami_FloridaSt,Texas_TexasA&M,Oregon_OregonSt,USC_UCLA,Louisville_Kentucky,Washington_WashingtonSt,Kansas_KansasSt,Minnesota_Wisconsin,Army_Navy,Army_AirForce,Navy_AirForce,OhioSt_PennSt,Alabama_LSU,Vanderbilt_Tennessee,Georgia_GeorgiaTech,Alabama_Georgia,WestVirginia_Pittsburgh,BothRanked,SEC_PostseasonImplications,Big10_PostseasonImplications,ACC_PostseasonImplications,Big12_PostseasonImplications,SEC_ConfChamp,Big10_ConfChamp,Big12_ConfChamp,ACC_ConfChamp,Pac12_ConfChamp,Other_ConfChamp,OhioSt_BTN,ln_viewers,Competing_Games_Score
2023-24,8/26/23,Sat,0.604166667,2:30p,Navy,Notre Dame,,3560.0,Notre Dame,42.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,,,,,39.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-08-26,2023,14.5,0,0,0,0,0,0,0,0,0,1,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.177796683277778,0.0
,9/2/23,Sat,0.5,12:00p,Colorado,TCU,,7260.0,Colorado,45.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,,,,,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-09-02,2023,12.0,0,0,0,0,0,0,0,1,1,0,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.890272839380247,3.4522452383098816
,9/4/23,Mon,0.833333333,8:00p,Clemson,Duke,,4390.0,Duke,28.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,12.5,0.0,2.0,0.0,,,,,21.0,12.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-09-04,2023,20.0,1,0,0,0,0,0,0,1,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.387312270561717,0.0
,8/31/23,Thu,0.833333333,8:00p,Nebraska,Minnesota,3.49M,3490.0,Minnesota,13.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,,,,,3.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,3,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-08-31,2023,20.0,0,1,0,0,0,0,0,1,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.157943507105037,3.038262784834035
,9/2/23,Sat,0.8125,7:30p,North Carolina,South Carolina,3.40M,3400.0,North Carolina,31.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,,,,,14.0,2.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,4,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-09-02,2023,19.5,0,0,0,0,0,0,0,1,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.131824785007195,1.3759750473949484
,8/31/23,Thu,0.833333333,8:00p,Florida,Utah,3.19M,3190.0,Utah,24.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,,,,,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-08-31,2023,20.0,0,1,0,0,0,0,0,1,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.068089626278244,3.9566632887950974
,9/3/23,Sun,0.5,12:00p,Northwestern,Rutgers,2.68M,2680.0,Rutgers,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,,,,,17.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,6,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-09-03,2023,12.0,0,0,0,0,0,0,0,1,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.893945138235959,0.0
,9/2/23,Sat,0.5,12:00p,Virginia,Tennessee,2.46M,2460.0,Tennessee,49.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,28.0,1.0,1.0,0.0,,,,,36.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,7,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-09-02,2023,12.0,0,0,0,0,0,0,0,1,1,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8083230503910555,5.463467854144202
,9/1/23,Fri,0.8125,7:30p,Louisville,Georgia Tech,1.65M,1650.0,Louisville,39.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,,,,,5.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,1.0,8,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-09-01,2023,19.5,0,0,0,1,1,0,0,1,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.409136443920128,0.0
,9/2/23,Sat,0.854166667,8:30p,Texas Tech,Wyoming,1.43M,1430.0,Wyoming,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13.5,0.0,1.0,0.0,,,,,2.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2023-09-02,2023,20.5,0,0,0,0,0,0,0,0,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.266128779556451,3.679394299215914
